trial,WN_IN,WN_LAT,WP_LAT,WN_TAIL,WP_RST,t_regen_ps,power_uW,fom_raw,fom_final,valid
49,2.7245918621610867,2.960665485403225,0.47618189040312986,4.1399574653601565,0.45621873095673815,32.85744,46.101240000000004,1514.7687272256,1514.7687272256,True
50,0.5818563758846278,1.644167995863503,0.8815077964821538,3.3082255761570973,0.6337262565390426,95.95185,31.496868,3022.1827538057996,3022.1827538057996,True
51,3.1436541586075077,1.947155756532339,0.7030667740996619,4.677681141040952,0.5810738847482453,34.913970000000006,34.935426,1219.7344153012202,1219.7344153012202,True
52,3.151866709754288,2.2646053390315872,0.6387564485912428,4.4939433212190805,0.447141874039362,33.4906,37.800270000000005,1265.953722462,1265.953722462,True
53,3.1925415690088,1.9312231397421271,0.6662728244452031,4.734165936986885,0.5831635532409338,34.63057,35.124192,1216.37078974944,1216.37078974944,True
54,3.2267530395111437,1.4227769673001256,0.4902687710488075,5.1233290896531765,0.3633970155649,,,,1000000000.0,False
55,3.2940736159430903,1.8800250214760934,0.7087083926864184,5.48217322031542,0.5799230379751801,33.09748,35.492256000000005,1174.70423311488,1174.70423311488,True
56,3.32716751415651,1.8572911889230403,0.688061376957445,6.116016871858193,0.5629340406050283,32.2917,35.666352,1151.7271388784,1151.7271388784,True
57,2.899443989379159,1.72666551458054,0.4518461248640899,6.266912290572606,0.5896889121109924,32.7033,34.611768,1131.9190324344,1131.9190324344,True
58,2.921153960481105,1.7010196141776905,0.4305450313168817,6.477407236723703,0.5015770969883616,31.38302,34.395696,1079.44081548192,1079.44081548192,True
59,2.2073706210438644,1.0790220699896331,0.36007804726181886,6.323064354638892,0.516387764927023,,,,1000000000.0,False
60,2.539931991437749,1.2556457483410048,0.452710320888353,5.769493554896405,1.612843781317194,45.16401,33.251364,1501.76493620964,1501.76493620964,True
61,2.922145395161202,1.7522247164157623,0.5364508935583193,6.682266347210776,0.4105796234933104,,,,1000000000.0,False
62,2.7269143630633357,2.115714292080721,0.574920473870561,6.2123656415545705,0.49934917739877127,31.98592,36.910026,1180.60113883392,1180.60113883392,True
63,2.715575349425096,1.66887860528914,0.45585705376073676,6.12353352387578,0.5062291308032152,32.712270000000004,33.441336,1093.94201239272,1093.94201239272,True
64,2.3539003934961085,1.638558631769122,0.44967992450726363,5.33693071540205,0.6287567267511872,36.82855,31.933638,1176.0695837649,1176.0695837649,True
65,2.7216655016557754,1.718069598975486,0.4451536759567341,5.560913744220439,0.5627745863131098,33.4441,33.356718,1115.5854124638,1115.5854124638,True
66,2.6933833322735334,1.2989691278335478,0.4242144607488622,7.0049756063696655,0.5415523825295642,34.01972,31.05549,1056.4990742628,1056.4990742628,True
67,2.6298787981555076,1.3117599593638636,0.43165764539628504,7.197140436789688,0.7912313488057212,35.70739,32.327082000000004,1154.31572453598,1154.31572453598,True
68,2.4871552525259117,0.9735517460538496,0.5167436098975204,5.960361894414637,0.6987163614860209,39.42026,28.516733999999996,1124.1370686308398,1124.1370686308398,True
69,1.8862258794009832,0.9661762264492519,0.362016663375928,6.886737565679363,0.7138843619986518,,,,1000000000.0,False
70,2.514142603416428,0.8525485569697115,0.5140247992275049,5.814689658133375,0.6762430160674522,40.23907,28.105974,1130.95825520418,1130.95825520418,True
71,2.508841989619106,0.7196540172555417,0.5353161877677105,5.870184345646122,0.6584419342709077,41.481359999999995,27.519534,1141.54769688624,1141.54769688624,True
72,2.3922139600310706,0.6625836848536153,0.49095631681610247,6.543094785174608,0.541786080481679,39.64023,26.512074,1050.94471113702,1050.94471113702,True
73,2.2863497811696574,0.7061475964151449,0.43595688598079885,6.532369653817661,0.5329485000999125,39.44218,26.294994000000003,1037.1318864469201,1037.1318864469201,True
74,2.25700658401607,0.7017529064313593,0.7894057431479673,6.568860460041359,0.5294339439222735,44.383070000000004,27.766655999999998,1232.36943691392,1232.36943691392,True
75,2.4320167047065784,0.5165102168148419,0.5698304305667322,5.1767805108658695,0.39966586126685577,,,,1000000000.0,False
76,2.23414312474724,0.967672204955927,0.42562209807547136,7.117458118023109,0.6773896660380359,38.47332,28.806804,1108.29338846928,1108.29338846928,True
77,2.047654154298941,1.0319416037675033,2.944560119582385,7.159323498934955,0.7602745703207341,69.96256,38.726064,2709.3745761638397,2709.3745761638397,True
78,2.256714972408173,0.804467254448351,0.4246742409877096,6.581856874413651,1.9358419330542045,52.03559,31.902984,1660.09059520056,1660.09059520056,True
79,1.942459673656518,0.6384786910323258,0.8256476552766308,6.946077090886115,0.6157638750641716,49.6458,28.052658,1392.6966485364,1392.6966485364,True
